Id,Store,Clothing,Price,Image Link
22,nike,Women's Dri-FIT Oversized 1/2-Zip Top,$130,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d04f0221-79bc-44ea-81f8-b8f26544f9c7/W+NK+24.7+DF+HZ+TOP+SOFT+KNIT.png"
23,nike,Women's Dri-FIT Oversized Crew-Neck Top,$110,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b18639ce-2e08-4ae9-94b9-aafa8de2137f/W+NK+24.7+DF+CREW+SOFT+KNIT.png"
24,nike,Women's Loose Full-Zip Cropped Hoodie,$110,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/0ec32901-5c27-4350-8ef5-f3c1fc07b32a/W+NSW+PHNX+FLC+CROP+FZ+HDY.png
25,nike,Women's Over-Oversized Crew-Neck Sweatshirt,$95,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/25b28479-906f-4f27-aed1-a30c8420d00b/W+NSW+PHNX+FLC+OOS+CREW.png"
26,nike,Women's Nike Football Pullover Hoodie,$105,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4809a7e6-9a34-4186-b522-e70e0b582a4c/AUS+W+NSW+CLUB+FLC+STD+PO+HDY.png"
27,nike,Women's Full-Zip Hoodie,$90,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/31061cf7-27bd-437e-a7b5-f67dd2fb3037/W+NSW+CLUB+FLC+FZ+HOODIE+STD.png
28,nike,Women's Full-Zip Hoodie,$90,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/75908408-669e-48b0-9d68-e89796cfd574/W+NSW+CLUB+FLC+FZ+HOODIE+STD.png
29,nike,Women's Crew-Neck Sweatshirt,$70,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/465987d1-04cb-4e52-8e6d-6928dc354727/W+NSW+CLUB+FLC+CREW+STD.png
30,nike,Women's Over-Oversized Crew-Neck Sweatshirt,$95,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/8c5239f1-8aef-4f1d-959c-652e424ebafe/W+NSW+PHNX+FLC+OOS+CREW.png
31,nike,Women's Pullover Hoodie,$90,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8f35eff5-1dcb-4b0a-b255-57f5f4d02c4d/W+NSW+CLUB+FLC+STD+PO+HDY.png"
32,nike,Women's Oversized Pullover Hoodie,$95,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/7a352df4-bb76-4e1e-8f13-7586a451d2ba/W+NSW+PHNX+FLC+OS+PO+HOODIE.png
33,nike,Men's Fleece CS Crew,$100,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/a9ed5072-73c0-42d7-aad4-638bf85a2e28/M+NRG+NOCTA+CS+CREW+FLC.png
34,nike,Men's Fleece CS Crew,$100,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/58693cd6-63e4-48a0-9167-ea2973844b12/M+NRG+NOCTA+CS+CREW+FLC.png
35,nike,Fleece Pullover Skate Hoodie,$100,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/0b27bd3e-aa39-4dbc-876e-114f5e5f41ff/U+NK+SB+FLC+PO+HD+ESSNTL+LOGO.png
36,nike,Women's Therma-FIT Oversized 1/2-Zip Fleece Top,$100,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/ff5cafd1-0dd0-47fb-9eaf-f0b3fb5ea7ca/W+NK+ONE+TF+HZ+TOP+POLAR.png
37,nike,Therma-FIT Pullover Hoodie,$100,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/5c0cf216-74c5-4de2-bcff-905c5f34f38c/KB+U+NK+TF+FUND+PO+HDY.png
38,nike,Women's Dri-FIT Oversized 1/2-Zip Top,$130,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/0a8ce53c-dcd6-48bd-ada0-9e3b30b59a36/W+NK+24.7+DF+HZ+TOP+SOFT+KNIT.png
39,nike,Ghillie Hoodie,$210,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/13e85600-0a95-4975-b7c2-e0ecf7addc68/U+NRG+STUSSY+GHILLIE+HDYAOP.png
40,nike,Women's Loose Full-Zip Cropped Hoodie,$110,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0dbb0136-2f90-4194-821a-8c6ef1c8543c/W+NSW+PHNX+FLC+CROP+FZ+HDY.png"
41,nike,Women's Loose Knit Hoodie,$160,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/97abab82-a421-4ddf-a899-ec598c78920b/W+NSW+PHNX+BCL+HDY.png
42,nike,Women's Full-Zip Hoodie,$160,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/d4847995-4174-47e6-9535-26694b30c482/W+NSW+TCH+FLC+WR+FZ+HDY+2.png
43,nike,Women's Full-Zip Hoodie,$150,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/a2c320bc-fee5-43b8-ad31-612c9bce21f3/W+NSW+TCH+FLC+WR+FZ+HDY+2.png
44,nike,Women's Crew-Neck Tennis Top,$120,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/d1b4753b-974d-432f-ae1f-e2b1be2884b4/W+NKCT+CRT+CLTN+FLC+CREW.png
45,nike,Men's Oversized Hoodie,$120,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5ba275e7-fe4d-4b12-b00d-e25968ffe606/M+NRG+OS+ST5+VECNA+HD.png"
46,nike,Women's Oversized French Terry Crew-Neck Sweatshirt,$100,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/d279d56c-b8c7-467f-9fcb-f60e84268385/W+NSW+NK+CHILL+FT+CREW.png
47,nike,Women's Oversized French Terry Crew-Neck Sweatshirt,$100,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/0881a5fc-ecec-4c15-900d-d47888c6e6ae/W+NSW+NK+CHILL+FT+CREW.png
48,nike,Women's Oversized Graphic Polo Top,$110,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/1188ba67-8b0f-43eb-ae35-6ee69fce7556/W+NSW+PHNX+FLC+OS+GX+POLO+TOP.png
49,nike,Men's Therma-FIT Pullover Crew-Neck Sweatshirt,$160,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/c1d38df2-4356-4bfb-8bdd-54b4642fa4e6/U+ACG+TF+TUFF+FLC+PO+OC+SSNL+G.png
50,nike,Men's Pullover Hoodie,$105,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3559abe0-70cc-4752-aea9-9a8cdcbda31b/M+NRG+CLUB+ST5+WSQK+HD.png"
51,nike,Men's Pullover Hoodie,$110,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/222c7862-9f22-4182-872e-62e095ecee4d/M+NRG+CLUB+ST5+SN+HD.png"
52,nike,Full-Zip Fleece Skate Hoodie,$130,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/502bee55-f1fa-4f75-b288-c17c34501ed0/U+NK+SB+FLC+FZ+HD+FOCUSED+GFX.png"
53,nike,Women's Oversized Logo Hoodie,$110,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/29b1a1b4-aab4-445f-bb3a-197f17a33a74/W+NSW+PHNX+FLC+OS+LOGO+HDY.png
54,nike,Women's Oversized Logo Hoodie,$110,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/5828290d-44fe-4148-86f5-ee11a7acaec8/W+NSW+PHNX+FLC+OS+LOGO+HDY.png
55,nike,Women's Lightweight Hoodie,$70,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/aa38d002-9f8e-463a-a7e1-34b9d50e3992/W+NSW+CHILL+KNIT+LTWT+OS+HOODY.png
56,nike,Women's Oversized Graphic Polo Top,$110,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/9b700553-5a8f-4f5a-a716-ba60b2642489/U+NK+SB+FLC+CRW+ESSNTL+LOGO.png
57,nike,Men's Therma-FIT Pullover Crew-Neck Sweatshirt,$160,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/aec8f446-5283-403f-a85a-28ddea1897f5/W+NSW+CLUB+FLC+STD+PO+HDY.png
58,nike,Men's Pullover Hoodie,$105,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/59e08a8b-747e-499a-9b10-439629205b8f/W+NSW+CLUB+FLC+CREW+STD.png"
59,nike,Men's Pullover Hoodie,$110,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/5e81f726-c157-4e5c-9e55-b7112619e7d7/W+NSW+PHNX+FLC+OOS+CREW.png
60,nike,Full-Zip Fleece Skate Hoodie,$130,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/20fb5d6d-31b1-4d08-8055-81b6e60b4c24/W+NSW+PHNX+FLC+OS+CRP+HNLY+HDY.png
61,nike,Women's Oversized Logo Hoodie,$110,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/07a2217d-ba23-4f9f-ab7e-1ae4c259550b/W+NK+UNVRSA+DF+HZ+TOP+FLC.png
62,nike,Women's Oversized Logo Hoodie,$110,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/3b62ae73-1796-42ac-81e4-15565de3418b/M+NRG+CLUB+ST5+FDL+CREW.png
63,nike,Women's Lightweight Hoodie,$70,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/5bc7e1f3-98b5-4258-bda4-d2ebf970c01b/M+NRG+NOCTA+CS+CREW+FLC.png
